left knee,left knee,left knee,right knee,right knee,right knee,left hip,left hip,left hip,right hip,right hip,right hip
x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
658.4429321,500.7174683,0.959535658,458.7359009,495.6774292,0.872156084,677.8884277,136.0389252,0.945993304,447.4664612,138.749588,0.871237576
659.2677612,501.3102722,0.959955096,459.401123,496.0653381,0.885553002,678.883667,136.282196,0.941940546,448.3483887,138.7159271,0.867971957
659.531189,501.7301941,0.959850073,459.7265015,496.7698975,0.894103646,679.3793945,136.1126709,0.932266951,448.8226929,138.5754242,0.859376848
659.8203125,501.933075,0.958941162,460.1849976,497.0566101,0.903989255,680.0460815,135.6834869,0.913985372,450.0402832,138.2157288,0.844903946
659.9476318,502.3328552,0.955189526,460.1607666,497.1867981,0.904077709,680.833252,134.9533844,0.891709268,450.7444763,137.8947754,0.835069418
659.96875,502.3613586,0.953833401,460.1885071,497.3714294,0.901867151,681.5369263,134.7487793,0.879848897,451.0866089,138.0244141,0.839835405
660.0394897,503.0172729,0.950030923,460.192749,497.6691589,0.900337458,682.2366333,134.4890594,0.846659541,451.64328,137.9013519,0.845855832
660.0197144,503.8610535,0.944524348,459.9508057,497.9304199,0.894794405,682.4486694,134.0617523,0.843958199,451.791626,137.8868256,0.850956917
659.6643066,504.6634521,0.937273085,459.7033081,498.1095276,0.884995639,682.2875977,133.5739899,0.862236917,451.620636,137.8354034,0.852594852
659.3366089,504.9859314,0.931059122,459.9385681,496.3435974,0.884488285,683.0259399,132.6354065,0.84989953,451.4960327,137.8132324,0.85410589
659.1567383,505.303772,0.922751665,460.0578918,496.3034973,0.88749218,683.5504761,132.2057648,0.83677882,451.8549805,137.6807861,0.84950757
659.2907104,505.6196594,0.917815089,460.151947,496.259552,0.889629185,683.635437,131.9958191,0.828241348,452.2306824,137.5012054,0.844817042
659.2880859,505.5825195,0.919019043,460.1230469,496.3707275,0.890103817,684.1049194,131.9879303,0.836297452,452.7897949,137.1461639,0.844693422
659.494812,505.5246887,0.92302084,460.2450867,496.4315491,0.889642596,683.1739502,132.2798615,0.821482003,453.2848816,136.8728333,0.834317446
659.6453857,505.4806824,0.923526585,460.2272034,496.4324036,0.890528262,683.1756592,132.1461639,0.83236748,452.5537415,137.1264801,0.836224437
659.7644653,505.3911743,0.92496568,460.2473145,496.4231567,0.891229987,683.1851807,132.1724548,0.835621953,452.4752197,137.0342865,0.835887611
659.5800171,505.1167297,0.928158164,460.2252502,496.2982178,0.889701188,683.958313,131.7525787,0.819533765,451.791626,136.9669647,0.843034148
659.0244141,505.0892029,0.93071717,459.1596375,495.8925781,0.897290945,682.9478149,132.0127716,0.831892192,450.9702759,136.0564117,0.856284916
658.6860352,504.9596863,0.925765574,458.3481445,495.4283142,0.911359727,681.0505371,131.7508087,0.859892309,450.040741,135.7712708,0.84418726
657.9015503,504.9291077,0.919906974,457.3811951,495.0511475,0.925617874,680.1780396,132.0515442,0.875763178,449.166748,135.660553,0.848998785
656.7862549,504.8668213,0.914828837,455.78302,494.6862183,0.937349021,679.0799561,132.5323639,0.893967628,447.3417969,135.6766205,0.834900975
655.1859741,504.0096436,0.912679315,454.9230652,494.5381165,0.939362884,678.2520752,133.0459137,0.915487766,446.7377319,135.4316864,0.832310617
